Density,Detonation velocity,Explosion pressure,Explosion heat,Explosion capacity,Solid phase formation enthalpy,SMILES,composite_score_0_1,mmff_strain_score_0_1
1.58,5955,14.5,4061.6,515.7,-347.02,C1(=CC=C(C=C1)N(=O)=O)(C2(=C(C(=NO2)N(=O)=O)C(=O)OC)),,
1.84,8724,34.2,6650.9,622.0,497.92,N1(=NC(=CN1N(=O)=O)C=2(N(N(=O)=O)C(=NC=2N(=O)=O)N(=O)=O)),,
1.72,7423,23.8,4803.8,653.0,274.79,N=1(NC(=NC=1N)C=2(N(N(=O)=O)C=NC=2(N(=O)=O))),,
1.73,7090,21.7,3855.1,746.1,326.18,N=1(N(N)C(=C(N=1)C=2(NC(N(=O)=O)=NC=2))N),,
1.68,6924,20.4,3761.0,746.1,306.4,N=2(N(C(=C(C1(=CNC(=N1)N(=O)=O))N=2)N)N),,
1.68,7248,22.4,4128.8,795.8,445.68,N1(=NC(=C(N1N)C=2(N(N)C(N)=NC=2))N(=O)=O),,
1.65,7059,21.0,3909.5,795.8,396.29,C=1(N=C(N(N=1)N)C2(=C(N)N(N=C2)N(=O)=O))(N),,
1.65,7015,20.7,4196.9,746.1,398.0,N=1(N(C(=C(N=1)N)C=2(NN=CC=2N(=O)=O))N),,
1.69,7117,21.6,4135.5,746.1,385.1,N=1(N(C(=C(N=1)N)C=2(C(N(=O)=O)=CNN=2))N),,
1.71,6690,19.2,4146.8,591.2,-382.19,O=C2(CC(C1(OC2(OC1)))N3(N=C(N(=O)=O)C(N(=O)=O)=C3)),,
1.71,6691,19.2,4147.2,591.2,-382.09,O=C3(CC(N1(N=C(N(=O)=O)C(N(=O)=O)=C1))C2(OC3(OC2))),,
1.5,4266,7.2,1962.9,559.5,-97.26,O=C1(N3(CCC(C3(=NC=2(C1=CC=CN=2)))=CC=4(C=CC(N(=O)=O)=CC=4))),,
1.65,7006,20.6,3902.5,804.2,410.23,N=1(ON=C(C=1N)C=2(N(N=CN=2)N)),,
1.65,7006,20.6,3902.5,804.2,410.23,N=1(ON=C(C=1N)C=2(N(N=CN=2)N)),,
